,url
30562,"['scottsdale', '2019', 'chevrolet', 'silverado']"
30996,"['scottsdale', '2019', 'ford', 'super', 'duty-350-srw']"
31118,"['scottsdale', '2019', 'gmc', 'sierra', '1500-lifted']"
31240,"['scottsdale', '2020', 'gmc', 'sierra', '3500hd-2020']"
31460,"['scottsdale', '2020', 'gmc', 'sierra', '1500-lifted']"
31568,"['scottsdale', '2018', 'chevrolet', 'silverado']"
31784,"['scottsdale', '2020', 'gmc', 'sierra', '2500hd']"
31918,"['scottsdale', '2020', 'chevrolet', 'silverado']"
32058,"['scottsdale', '2020', 'gmc', 'sierra', '3500hd']"
32577,"['scottsdale', '2020', 'chevrolet', 'silverado']"
33558,['d']
33559,['d']
33561,['d']
40630,"['scottsdale', '2019', 'chevrolet', 'silverado']"
40696,"['scottsdale', '2020', 'ford', 'super', 'duty-250-srw']"
40985,"['scottsdale', '2019', 'gmc', 'sierra', '1500-lifted']"
41069,"['scottsdale', '2018', 'chevrolet', 'silverado']"
41152,"['scottsdale', '2019', 'chevrolet', 'silverado']"
41429,"['scottsdale', '2019', 'gmc', 'sierra', '1500-lifted']"
41580,"['scottsdale', '2019', 'ford', 'super', 'duty-350-srw']"
41669,"['scottsdale', '2020', 'gmc', 'sierra', '1500-lifted']"
41942,"['scottsdale', '2020', 'gmc', 'sierra', '3500hd-2020']"
42051,"['scottsdale', '2018', 'chevrolet', 'silverado']"
42266,"['scottsdale', '2020', 'gmc', 'sierra', '2500hd']"
42351,"['scottsdale', '2020', 'chevrolet', 'silverado']"
42461,"['scottsdale', '2020', 'chevrolet', 'silverado']"
43032,"['scottsdale', '2020', 'gmc', 'sierra', '3500hd']"
51283,"['dallas', '2019', 'volvo', 'neon', 'green-delivery']"
51352,"['fair', 'oaks', '2018', 'gmc', 'acadia-awd-4dr-denali']"
52315,"['fair', 'oaks', '2019', 'volkswagen', 'atlas-36l-v6']"
54570,['d']
54571,['d']
54572,['d']
54573,['d']
54574,['d']
56259,"['paso', 'robles', '2018', 'ford', '150-xlt']"
56330,"['paso', 'robles', '2020', 'ford', '150-king-ranch']"
56357,"['paso', 'robles', '2019', 'toyota', 'sequoia-sr5-4wd']"
56358,"['paso', 'robles', '2020', 'ford', '150-xlt-stone']"
